Well_Name,Depth,GR,RESD,RESS,RHOB,NEUTRON,Vshale,PHIE,Sw,PERM
Well-01,2221.5,31.2812,15.2193,33.0111,2.5398,0.2294,0.5187,0.0261,1,0.0028
Well-01,2222,38.6562,16.2632,30.058,2.5609,0.3054,0.8201,0.0001,1,0
Well-01,2222.5,48.4688,18.8775,27.2331,2.5293,0.3168,0.8058,0.0102,1,0.0001
Well-01,2223,51.75,20.5485,25.2115,2.4673,0.2549,0.4799,0.0712,1,1.3769
Well-01,2223.5,49.125,20.5463,27.1629,2.4524,0.1872,0.2291,0.0981,0.7016,9.6844
Well-01,2224,42.625,20.1654,31.9105,2.4588,0.1692,0.1823,0.096,0.6723,8.527
Well-01,2224.5,35.1562,20.7295,42.4644,2.4916,0.153,0.1877,0.0771,0.7315,2.2388
Well-01,2225,27.8438,24.2605,58.9492,2.5339,0.1375,0.2126,0.0517,0.6013,0.1958
Well-01,2225.5,25.9531,31.5435,102.283,2.5774,0.1303,0.266,0.0223,0.9065,0.0015
Well-01,2226,27.0469,38.0212,155.7444,2.6187,0.1392,0.3649,0.0001,1,0
Well-01,2226.5,29.9844,46.6074,171.8443,2.6276,0.1663,0.4656,0.0001,1,0
Well-01,2227,31.3125,55.6501,154.2235,2.5832,0.2013,0.435,0.0049,1,0
Well-01,2227.5,35.125,54.0351,145.6872,2.5355,0.2603,0.5345,0.0234,1,0.0018
Well-01,2228,43.0938,47.0889,130.0864,2.5125,0.2769,0.5501,0.0354,0.8025,0.0097
Well-01,2228.5,40.5938,46.7668,120.1864,2.4852,0.2585,0.4534,0.0589,0.5037,0.4335
Well-01,2229,39.0938,46.0578,124.9406,2.5087,0.2526,0.4714,0.044,0.6413,0.0236
Well-01,2229.5,34.5938,45.2731,134.5186,2.5294,0.2823,0.5923,0.0222,1,0.0014
Well-01,2230,40.4062,45.3913,134.5186,2.5372,0.3179,0.7149,0.008,1,0
Well-01,2230.5,46.5938,46.9043,134.5187,2.5188,0.3598,0.8235,0.0092,1,0
Well-01,2231,56,50.4242,140.5026,2.5137,0.4003,0.6,0.0916,0.2725,6.3971
Well-01,2231.5,64.6875,54.2031,147.0437,2.5102,0.3792,0.7198,0.0391,0.6976,0.0145
Well-01,2232,68.8125,49.0303,142.403,2.5142,0.3459,0.7767,0.0055,1,0
Well-01,2232.5,62.9062,46.7097,133.9482,2.5313,0.3305,0.6953,0.0113,1,0.0001
Well-01,2233,57,53.9287,135.6743,2.542,0.4023,0.6138,0.0845,0.2757,3.9132
Well-01,2233.5,67,52.3958,133.9482,2.5344,0.4013,0.7517,0.043,0.5206,0.0215
Well-01,2234,89.375,48.8926,117.5036,2.5291,0.3543,1,0.0001,1,0
Well-01,2234.5,99.3125,44.5665,90.8136,2.5267,0.3202,1,0.0001,1,0
